,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Unnamed: 10,Unnamed: 11,Diff_coeff_filtering
182,69,27777.78,19.24,45,15625.0,19.24,1.53,0.19,0.13,0.87,,,21.597459002663022
183,69,27777.78,19.24,48,17777.78,19.24,1.44,0.16,0.11,0.89,,,19.65216649129504
184,69,27777.78,19.24,61,20069.44,19.24,1.13,0.05,0.04,0.96,,,32.54513284585266
185,69,27777.78,19.24,69,22500.0,19.24,1.0,0.0,0.0,1.0,,,-1.0
186,69,27777.78,19.24,69,25069.44,19.24,1.0,0.0,0.0,1.0,,,-1.0
187,69,27777.78,19.24,69,27777.78,19.24,1.0,0.0,0.0,1.0,,,-1.0
188,69,27777.78,19.24,89,30625.0,19.24,0.78,-0.11,0.08,0.92,,,11.651742844344534
189,69,27777.78,19.24,97,33611.11,19.24,0.71,-0.15,0.1,0.9,,,1.1490161181728547
190,69,27777.78,19.24,101,36736.11,19.24,0.68,-0.17,0.11,0.89,,,6.54760906681141
191,69,27777.78,19.24,112,40000.0,19.24,0.62,-0.21,0.14,0.86,,,7.264564193373437
192,89,30625.0,19.24,21,5625.0,19.24,4.24,0.63,0.43,0.57,,,18.597796238439813
193,89,30625.0,19.24,21,6944.44,19.24,4.24,0.63,0.43,0.57,,,15.448851032214494
194,89,30625.0,19.24,21,8402.78,19.24,4.24,0.63,0.43,0.57,,,11.955247891754682
195,89,30625.0,19.24,27,10000.0,19.24,3.3,0.52,0.35,0.65,,,13.165747830695297
196,89,30625.0,19.24,37,11736.11,19.24,2.41,0.38,0.26,0.74,,,16.93771183069998
197,89,30625.0,19.24,37,13611.11,19.24,2.41,0.38,0.26,0.74,,,12.76685769311721
198,89,30625.0,19.24,45,15625.0,19.24,1.98,0.3,0.2,0.8,,,14.443304753579612
199,89,30625.0,19.24,48,17777.78,19.24,1.85,0.27,0.18,0.82,,,11.52077711190135
200,89,30625.0,19.24,61,20069.44,19.24,1.46,0.16,0.11,0.89,,,17.492656177518217
201,89,30625.0,19.24,69,22500.0,19.24,1.29,0.11,0.08,0.92,,,19.314488105502058
202,89,30625.0,19.24,69,25069.44,19.24,1.29,0.11,0.08,0.92,,,8.469758661395637
203,89,30625.0,19.24,69,27777.78,19.24,1.29,0.11,0.08,0.92,,,11.651742844344566
204,89,30625.0,19.24,89,30625.0,19.24,1.0,0.0,0.0,1.0,,,-1.0
205,89,30625.0,19.24,97,33611.11,19.24,0.92,-0.04,0.03,0.97,,,16.677606420730598
206,89,30625.0,19.24,101,36736.11,19.24,0.88,-0.05,0.04,0.96,,,22.952667646137833
207,89,30625.0,19.24,112,40000.0,19.24,0.79,-0.1,0.07,0.93,,,18.37014965394047
208,97,33611.11,19.24,21,5625.0,19.24,4.62,0.66,0.45,0.55,,,18.49621724753501
209,97,33611.11,19.24,21,6944.44,19.24,4.62,0.66,0.45,0.55,,,15.520539888060632
210,97,33611.11,19.24,21,8402.78,19.24,4.62,0.66,0.45,0.55,,,12.2577375948162
211,97,33611.11,19.24,27,10000.0,19.24,3.59,0.56,0.38,0.62,,,13.42644312849886
212,97,33611.11,19.24,37,11736.11,19.24,2.62,0.42,0.29,0.71,,,16.914660893312515
213,97,33611.11,19.24,37,13611.11,19.24,2.62,0.42,0.29,0.71,,,13.154978628984024
214,97,33611.11,19.24,45,15625.0,19.24,2.16,0.33,0.23,0.77,,,14.709443371711552
215,97,33611.11,19.24,48,17777.78,19.24,2.02,0.31,0.21,0.79,,,12.239462990730589
216,97,33611.11,19.24,61,20069.44,19.24,1.59,0.2,0.14,0.86,,,17.34468918018908
217,97,33611.11,19.24,69,22500.0,19.24,1.41,0.15,0.1,0.9,,,18.6922030175336
218,97,33611.11,19.24,69,25069.44,19.24,1.41,0.15,0.1,0.9,,,10.912450989250315
219,97,33611.11,19.24,69,27777.78,19.24,1.41,0.15,0.1,0.9,,,1.149016118172861
220,97,33611.11,19.24,89,30625.0,19.24,1.09,0.04,0.03,0.97,,,16.677606420730598
221,97,33611.11,19.24,97,33611.11,19.24,1.0,0.0,0.0,1.0,,,-1.0
222,97,33611.11,19.24,101,36736.11,19.24,0.96,-0.02,0.01,0.99,,,30.16883831033254
223,97,33611.11,19.24,112,40000.0,19.24,0.87,-0.06,0.04,0.96,,,19.29629841599154
224,101,36736.11,19.24,21,5625.0,19.24,4.81,0.68,0.47,0.53,,,19.006872804016933
225,101,36736.11,19.24,21,6944.44,19.24,4.81,0.68,0.47,0.53,,,16.221687683564863
226,101,36736.11,19.24,21,8402.78,19.24,4.81,0.68,0.47,0.53,,,13.191319144515136
227,101,36736.11,19.24,27,10000.0,19.24,3.74,0.57,0.39,0.61,,,14.430947637367723
228,101,36736.11,19.24,37,11736.11,19.24,2.73,0.44,0.3,0.7,,,17.8568385126804
229,101,36736.11,19.24,37,13611.11,19.24,2.73,0.44,0.3,0.7,,,14.493022680085748
230,101,36736.11,19.24,45,15625.0,19.24,2.24,0.35,0.24,0.76,,,16.148648802585274
