,Unnamed,NumLeft,FieldAreaLeft,ItemSurfaceAreaLeft,NumRight,FieldAreaRight,ItemSurfaceAreaRight,Ratio L/R,LogRatio,Log - Normalized,Difficulty Coefficient,Diff_coeff_filtering,nd_LogRatio,nnd_LogRatio
105,0,9,20069.44,222.38,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5430302514473717,-0.8472978603872037,0.8348486407568503
106,0,21,17777.78,49.25,9,22500.0,222.38,2.33,0.37,0.35,0.65,0.5352402364636221,0.8472978603872037,-0.8728502004456217
107,0,9,22500.0,222.38,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5352402364636221,-0.8472978603872037,0.8728502004456217
108,0,21,17777.78,49.25,9,25069.44,222.38,2.33,0.37,0.35,0.65,0.5278462325492439,0.8472978603872037,-0.9115122915104685
109,0,9,25069.44,222.38,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5278462325492439,-0.8472978603872037,0.9115122915104685
110,0,21,17777.78,49.25,9,27777.78,222.38,2.33,0.37,0.35,0.65,0.5208477840477063,0.8472978603872037,-0.9507083686685761
111,0,9,27777.78,222.38,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5208477840477063,-0.8472978603872037,0.9507083686685761
112,0,21,17777.78,49.25,9,30625.0,222.38,2.33,0.37,0.35,0.65,0.5142380456057865,0.8472978603872037,-0.9903221684822137
113,0,9,30625.0,222.38,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5142380456057865,-0.8472978603872037,0.9903221684822137
114,0,21,17777.78,49.25,13,33611.11,222.38,1.62,0.21,0.2,0.8,0.4361295968565878,0.4795730802618863,-1.0302484549751083
115,0,13,33611.11,222.38,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.4361295968565878,-0.4795730802618862,1.0302484549751085
116,0,21,17777.78,49.25,13,36736.11,222.38,1.62,0.21,0.2,0.8,0.4324156309417473,0.4795730802618863,-1.0703920143992596
117,0,13,36736.11,222.38,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.4324156309417473,-0.4795730802618862,1.0703920143992594
118,0,21,17777.78,49.25,9,17777.78,249.31,2.33,0.37,0.35,0.65,0.5338968809638903,0.8472978603872037,-0.8796781237118612
119,0,9,17777.78,249.31,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5338968809638903,-0.8472978603872037,0.879678123711861
120,0,21,17777.78,49.25,9,20069.44,249.31,2.33,0.37,0.35,0.65,0.5273875292747204,0.8472978603872037,-0.9140006906305014
121,0,9,20069.44,249.31,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5273875292747204,-0.8472978603872037,0.9140006906305015
122,0,21,17777.78,49.25,9,22500.0,249.31,2.33,0.37,0.35,0.65,0.5211152180709524,0.8472978603872037,-0.9491605359370892
123,0,9,22500.0,249.31,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5211152180709524,-0.8472978603872037,0.9491605359370893
124,0,21,17777.78,49.25,9,25069.44,249.31,2.33,0.37,0.35,0.65,0.5150952615861979,0.8472978603872037,-0.9850323910716587
125,0,9,25069.44,249.31,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5150952615861979,-0.8472978603872037,0.9850323910716589
126,0,21,17777.78,49.25,9,27777.78,249.31,2.33,0.37,0.35,0.65,0.5093361419461416,0.8472978603872037,-1.0215001778213226
127,0,9,27777.78,249.31,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5093361419461416,-0.8472978603872037,1.0215001778213226
128,0,21,17777.78,49.25,9,30625.0,249.31,2.33,0.37,0.35,0.65,0.5038409842918781,0.8472978603872037,-1.0584559997487921
129,0,9,30625.0,249.31,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.5038409842918781,-0.8472978603872037,1.0584559997487921
130,0,21,17777.78,49.25,9,33611.11,249.31,2.33,0.37,0.35,0.65,0.49860855231368306,0.8472978603872037,-1.0958010365917075
131,0,9,33611.11,249.31,21,17777.78,49.25,0.43,-0.37,0.35,0.65,0.49860855231368306,-0.8472978603872037,1.0958010365917075
132,0,21,17777.78,49.25,13,36736.11,249.31,1.62,0.21,0.2,0.8,0.4270865100681081,0.4795730802618863,-1.1334448051370751
133,0,13,36736.11,249.31,21,17777.78,49.25,0.62,-0.21,0.2,0.8,0.4270865100681081,-0.4795730802618862,1.1334448051370751
